c_location,population,highestinfectioncount,percentofpopulationinfected
Western Sahara,576005,0,0
United States Virgin Islands,99479,0,0
England,56550000,0,0
Sint Maarten (Dutch part),44192,0,0
Jersey,110796,0,0
Guernsey,63329,0,0
Tokelau,1893,0,0
Scotland,5466000,0,0
Puerto Rico,3252412,0,0
Turkmenistan,6430777,0,0
Northern Ireland,1896000,0,0
Pitcairn,47,0,0
Northern Mariana Islands,49574,0,0
Guam,171783,0,0
Niue,1952,0,0
International,0,721,0
Northern Cyprus,382836,0,0
Wales,3170000,0,0
Cyprus,896007,625562,69.81664206
San Marino,33690,22813,67.71445533
Faeroe Islands,53117,34658,65.24841388
Austria,8939617,5668157,63.40491992
Gibraltar,32677,20252,61.97631362
Slovenia,2119843,1296066,61.13971648
Andorra,79843,47686,59.72470974
Brunei,449002,266819,59.42490234
France,67813000,39115139,57.68088567
Denmark,5882259,3379211,57.44750444
Saint Pierre and Miquelon,5885,3306,56.17672048
Iceland,372903,207974,55.77160817
South Korea,51815808,28534558,55.06921363
Portugal,10270857,5554058,54.07589649
Liechtenstein,39355,21228,53.93977894
Greece,10384972,5548487,53.42804006
Latvia,1850654,972195,52.53251013
Falkland Islands,3801,1930,50.77611155
Israel,9449000,4754246,50.3148058
Switzerland,8740471,4386815,50.18968657
Netherlands,17564020,8569971,48.79276498
Georgia,3744385,1808820,48.30753248
Luxembourg,647601,311435,48.09056811
Bahrain,1472237,698136,47.4200825
Slovakia,5643455,2655504,47.05457915
Seychelles,107135,50355,47.00144677
Lithuania,2750058,1285267,46.73599611
Estonia,1326064,611291,46.09815213
Cayman Islands,68722,31472,45.79610605
Montenegro,627082,284472,45.3644021
Isle of Man,84534,38008,44.96179052
Germany,83369840,37177845,44.59387831
Czechia,10493990,4576016,43.60606404
Monaco,36491,15897,43.56416651
Bonaire Sint Eustatius and Saba,27052,11716,43.30918232
Australia,26177410,11068107,42.28113858
Italy,59037472,24884034,42.14955884
Aruba,106459,44145,41.46666792
European Union,450146793,180859290,40.17784705
Saint Helena,5401,2166,40.1036845
Belgium,11655923,4668248,40.05043616
New Zealand,5185289,2062719,39.78021283
Singapore,5637022,2193890,38.91930881
Cook Islands,17032,6389,37.5117426
Marshall Islands,41593,15547,37.37888587
Barbados,281646,104944,37.26095879
Nauru,12691,4621,36.41163029
Taiwan,23893396,8644555,36.17968329
United Kingdom,67508936,24135084,35.7509471
Serbia,6871547,2440825,35.52074955
Maldives,523798,185666,35.44610709
Ireland,5023108,1687668,33.5980831
High income,1250514600,414368981,33.1358771
Palau,18084,5955,32.92966158
